// マップデータ定義ファイル;
//VERSION	"130226";

// FOLDER	名前（メイン）;
// MAP	ID, 名前（サブ）;
PTREE "MAP_LIST","イベントリスト";

	PTVAL "data/map/","path";

	PTREE "FOLDER","■ev01[ビジュアル＆システム＆アニメ]";
		PTREE_VALS "MAP","ev01_0003","【Ｔ】注意メッセージ","t101g00","10010",1;
		PTREE_VALS "MAP","ev01_0005a","【Ｖ】場面紹介（男）","e101g001","10010",1;
		PTREE_VALS "MAP","ev01_0005b","【Ｖ】場面紹介（女）","e101g001","10010",1;
		PTREE_VALS "MAP","ev01_0010a","【Ｓ】夏休みの公園にて（男）","t101g00","10010",1;
		PTREE_VALS "MAP","ev01_0010b","【Ｓ】夏休みの公園にて（女）","t101g00","10010",1;
		PTREE_VALS "MAP","ev01_0020a","【Ｓ】虫取りの準備（男）","t101i02","10010",1;
		PTREE_VALS "MAP","ev01_0020b","【Ｓ】虫取りの準備（女）","t101i04","10010",1;
		PTREE_VALS "MAP","ev01_0030","【Ｔ】お母さんとの会話","t101i01","10020",1;
		PTREE_VALS "MAP","ev01_0040","【Ｔ】裏山へ出発！","t101g00","10030",1;
		PTREE_VALS "MAP","ev01_0050","【Ｔ】公園の木を調べてみよう！","t101g00","10040",1;
		PTREE_VALS "MAP","ev01_0060","【Ｔ】初めての虫取り","t101g00","10050",1;
		PTREE_VALS "MAP","ev01_0070","【Ｓ】用務員さんに話を聞こう","t101g00","10050",1;
		PTREE_VALS "MAP","ev01_0080","【Ｔ】用務員さんからのアドバイス","t101g00","10060",1;
		PTREE_VALS "MAP","ev01_0090","【Ｔ】裏山の木を調べてみよう！","t102g00","10070",1;
		PTREE_VALS "MAP","ev01_0095","【Ｓ】閉じた鳥居","t102g00","10070",1;
		PTREE_VALS "MAP","ev01_0100","【Ｓ】珍しい虫を探しに森の奥へ","t102g00","10080",1;
		PTREE_VALS "MAP","ev01_0110a","【Ｖ】執事妖怪ウィスパー登場（男）","e102g001","10090",1;
		PTREE_VALS "MAP","ev01_0110b","【Ｖ】執事妖怪ウィスパー登場（女）","e102g001","10090",1;
		PTREE_VALS "MAP","ev01_0120a","【Ｓ】不思議な腕時計・妖怪ウォッチ（男）","t102g00","10090",1;
		PTREE_VALS "MAP","ev01_0120b","【Ｓ】不思議な腕時計・妖怪ウォッチ（女）","t102g00","10090",1;
		PTREE_VALS "MAP","ev01_0130","【Ｔ】初めての妖怪探し","t102g00","10100",1;
		PTREE_VALS "MAP","ev01_0140","【Ｓ】初めてのバトル","t102g00","10110",1;
		PTREE_VALS "MAP","ev01_0150","【Ｓ】トホホギスとともだちに","t102g00","10120",1;
		PTREE_VALS "MAP","ev01_0160a","【Ｖ】妖怪の奇妙な日常の始まり（男）","e102g001","10120",1;
		PTREE_VALS "MAP","ev01_0160b","【Ｖ】妖怪の奇妙な日常の始まり（女）","e102g001","10120",1;
	_PTREE;
	PTREE "FOLDER","■ev02[ビジュアル＆システム＆アニメ]";
		PTREE_VALS "MAP","ev02_0010a","【Ｓ】ウィスパーとともに帰宅（男）","t101g00","20010",0;
		PTREE_VALS "MAP","ev02_0010b","【Ｓ】ウィスパーとともに帰宅（女）","t101g00","20010",0;
		PTREE_VALS "MAP","ev02_0020a","【Ｓ】喧嘩する両親（男）","t101i01","20010",0;
		PTREE_VALS "MAP","ev02_0020b","【Ｓ】喧嘩する両親（女）","t101i03","20010",0;
		PTREE_VALS "MAP","ev02_0030a","【Ｓ】発見！ドンヨリーヌ！（男）","t101i01","20020",0;
		PTREE_VALS "MAP","ev02_0030b","【Ｓ】発見！ドンヨリーヌ！（女）","t101i03","20020",0;
		PTREE_VALS "MAP","ev02_0040","【Ｔ】もっと強い妖怪が必要？","t101g00","20030",0;
		PTREE_VALS "MAP","ev02_0050","【Ｔ】強力な妖怪？","t101g00","20040",0;
		PTREE_VALS "MAP","ev02_0060","【Ｖ】トラックに挑む妖怪ジバニャン！","e101g003","20040",0;
		PTREE_VALS "MAP","ev02_0070","【Ｓ】落ち込むジバニャン","t101g00","20040",0;
		PTREE_VALS "MAP","ev02_0080","【Ｔ】妖怪が集まる路地裏","t101d01","20050",0;
		PTREE_VALS "MAP","ev02_0090","【Ｓ】エミちゃんの写真を取り返せ","t101d01","20060",0;
		PTREE_VALS "MAP","ev02_0100","【Ｓ】写真をジバニャンのもとへ","t101d01","20070",0;
		PTREE_VALS "MAP","ev02_0110","【Ｓ】ジバニャンとともだちに！","t101g00","20080",0;
		PTREE_VALS "MAP","ev02_0120","【Ｔ】対決！ドンヨリーヌ！","t101i01","20090",0;
		PTREE_VALS "MAP","ev02_0123a","【Ｖ】セットオン！(男)","e101i011","20040",0;
		PTREE_VALS "MAP","ev02_0123b","【Ｖ】セットオン！(女)","e101i031","20040",0;
		PTREE_VALS "MAP","ev02_0126a","【Ｓ】急に呼び出されたジバニャン（男）","t101i01","20090",0;
		PTREE_VALS "MAP","ev02_0126b","【Ｓ】急に呼び出されたジバニャン（女）","t101i03","20090",0;
		PTREE_VALS "MAP","ev02_0130a","【Ｓ】ドンヨリーヌとともだちに（男）","t101i01","20100",0;
		PTREE_VALS "MAP","ev02_0130b","【Ｓ】ドンヨリーヌとともだちに（女）","t101i03","20100",0;
		PTREE_VALS "MAP","ev02_0140a","【Ｓ】両親の仲直り（男）","t101i01","20100",0;
		PTREE_VALS "MAP","ev02_0140b","【Ｓ】両親の仲直り（女）","t101i03","20100",0;
	_PTREE;
	PTREE "FOLDER","■ev03[ビジュアル＆システム＆アニメ]";
		PTREE_VALS "MAP","ev03_0010a","【Ｓ】公園で待ち合わせ（男）","t101i02","30010",0;
		PTREE_VALS "MAP","ev03_0010b","【Ｓ】公園で待ち合わせ（女）","t101i04","30010",0;
		PTREE_VALS "MAP","ev03_0020a","【Ｓ】落ち込むフミちゃん（男）","t101g00","30020",0;
		PTREE_VALS "MAP","ev03_0020b","【Ｓ】落ち込むケータ（女）","t101g00","30020",0;
		PTREE_VALS "MAP","ev03_0030a","【Ｓ】その名もバクロ婆（男）","t101g00","30030",0;
		PTREE_VALS "MAP","ev03_0030b","【Ｓ】その名もバクロ婆（女）","t101g00","30030",0;
		PTREE_VALS "MAP","ev03_0040a","【Ｓ】バクロ婆で仲直り（男）","t101g00","30040",0;
		PTREE_VALS "MAP","ev03_0040b","【Ｓ】バクロ婆で仲直り（女）","t101g00","30040",0;
		PTREE_VALS "MAP","ev03_0055a","【Ｓ】部屋で起床（男）","t101i02","30040",0;
		PTREE_VALS "MAP","ev03_0055b","【Ｓ】部屋で起床（女）","t101i04","30040",0;
		PTREE_VALS "MAP","ev03_0060","【Ｓ】結界は破られた！","t101g00","30050",0;
		PTREE_VALS "MAP","ev03_0070","【Ｓ】再び結界を張ろう","t101g00","30060",0;
		PTREE_VALS "MAP","ev03_0080","【Ｓ】お地蔵さんの結界","t101g00","30070",0;
		PTREE_VALS "MAP","ev03_0090","【Ｓ】結界が元通りに①","t101g00","30070",0;
		PTREE_VALS "MAP","ev03_0100","【Ｓ】石碑の結界","t101g00","30070",0;
		PTREE_VALS "MAP","ev03_0110","【Ｓ】結界が元通りに②","t101g00","30070",0;
		PTREE_VALS "MAP","ev03_0120","【Ｔ】学校から妖気を感じる","t101g00","30080",0;
		PTREE_VALS "MAP","ev03_0130","【Ｔ】最後の結界はどこ？","t101g00","30090",0;
